,recording,file,label,valid_frames
0,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,550.npy,NaturalVideo,300
1,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,464.npy,NaturalVideo,300
2,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,704.npy,NaturalImages,319
3,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,285.npy,NaturalVideo,300
4,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,383.npy,NaturalVideo,300
5,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,147.npy,NaturalVideo,300
6,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,301.npy,Gabor,300
7,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,261.npy,NaturalVideo,300
8,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,619.npy,NaturalVideo,300
9,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,321.npy,NaturalVideo,300
10,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,167.npy,NaturalVideo,300
11,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,400.npy,Gabor,300
12,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,433.npy,NaturalVideo,300
13,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,646.npy,NaturalVideo,300
14,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,71.npy,NaturalVideo,300
15,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,190.npy,NaturalVideo,300
16,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,180.npy,NaturalVideo,300
17,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,265.npy,NaturalVideo,300
18,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,475.npy,Gabor,300
19,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,571.npy,NaturalVideo,300
20,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,305.npy,NaturalVideo,300
21,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,152.npy,NaturalVideo,300
22,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,35.npy,NaturalVideo,300
23,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,520.npy,NaturalVideo,300
24,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,291.npy,NaturalVideo,300
25,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,132.npy,Gabor,300
26,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,214.npy,PinkNoise,324
27,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,430.npy,NaturalVideo,300
28,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,541.npy,NaturalVideo,300
29,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,386.npy,NaturalVideo,300
30,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,232.npy,Gabor,300
31,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,340.npy,NaturalVideo,300
32,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,328.npy,NaturalVideo,300
33,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,630.npy,NaturalVideo,300
