,recording,file,label,valid_frames,recording_short,unique_label
0,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,407.npy,NaturalVideo,300,2-10,2-10_407_NaturalVideo
1,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,379.npy,NaturalVideo,300,2-10,2-10_379_NaturalVideo
2,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,18.npy,NaturalVideo,300,2-10,2-10_18_NaturalVideo
3,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,270.npy,NaturalVideo,300,2-10,2-10_270_NaturalVideo
4,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,241.npy,NaturalVideo,300,2-10,2-10_241_NaturalVideo
5,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,433.npy,NaturalVideo,300,2-10,2-10_433_NaturalVideo
6,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,29.npy,NaturalVideo,300,2-10,2-10_29_NaturalVideo
7,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,4.npy,NaturalVideo,300,2-10,2-10_4_NaturalVideo
8,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,394.npy,NaturalVideo,300,2-10,2-10_394_NaturalVideo
9,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,343.npy,NaturalVideo,300,2-10,2-10_343_NaturalVideo
10,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,650.npy,NaturalVideo,300,2-10,2-10_650_NaturalVideo
11,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,233.npy,NaturalVideo,300,2-10,2-10_233_NaturalVideo
12,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,47.npy,Gabor,300,2-10,2-10_47_Gabor
13,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,529.npy,NaturalVideo,300,2-10,2-10_529_NaturalVideo
14,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,203.npy,PinkNoise,324,2-10,2-10_203_PinkNoise
15,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,612.npy,PinkNoise,324,2-10,2-10_612_PinkNoise
16,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,72.npy,NaturalVideo,300,2-10,2-10_72_NaturalVideo
17,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,452.npy,NaturalVideo,300,2-10,2-10_452_NaturalVideo
18,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,105.npy,NaturalVideo,300,2-10,2-10_105_NaturalVideo
19,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,618.npy,NaturalVideo,300,2-10,2-10_618_NaturalVideo
20,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,86.npy,NaturalVideo,300,2-10,2-10_86_NaturalVideo
21,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,326.npy,NaturalVideo,300,2-10,2-10_326_NaturalVideo
22,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,304.npy,NaturalVideo,300,2-10,2-10_304_NaturalVideo
23,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,354.npy,NaturalVideo,300,2-10,2-10_354_NaturalVideo
24,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,269.npy,NaturalVideo,300,2-10,2-10_269_NaturalVideo
25,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,691.npy,NaturalImages,318,2-10,2-10_691_NaturalImages
26,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,420.npy,NaturalVideo,300,2-10,2-10_420_NaturalVideo
