Mouse_ID,Video_ID,Video_Label
Mouse_1__11_10,Mouse_1__11_10__407.npy,
Mouse_1__11_10,Mouse_1__11_10__18.npy,
Mouse_1__11_10,Mouse_1__11_10__379.npy,
Mouse_1__11_10,Mouse_1__11_10__270.npy,
Mouse_1__11_10,Mouse_1__11_10__241.npy,
Mouse_1__11_10,Mouse_1__11_10__586.npy,
Mouse_1__11_10,Mouse_1__11_10__433.npy,
Mouse_1__11_10,Mouse_1__11_10__29.npy,
Mouse_1__11_10,Mouse_1__11_10__394.npy,
Mouse_1__11_10,Mouse_1__11_10__343.npy,
Mouse_1__11_10,Mouse_1__11_10__650.npy,
Mouse_1__11_10,Mouse_1__11_10__47.npy,
Mouse_1__11_10,Mouse_1__11_10__233.npy,
Mouse_1__11_10,Mouse_1__11_10__203.npy,
Mouse_1__11_10,Mouse_1__11_10__529.npy,
Mouse_1__11_10,Mouse_1__11_10__72.npy,
Mouse_1__11_10,Mouse_1__11_10__612.npy,
Mouse_1__11_10,Mouse_1__11_10__105.npy,
Mouse_1__11_10,Mouse_1__11_10__452.npy,
Mouse_1__11_10,Mouse_1__11_10__12.npy,
Mouse_1__11_10,Mouse_1__11_10__618.npy,
Mouse_1__11_10,Mouse_1__11_10__86.npy,
Mouse_1__11_10,Mouse_1__11_10__739.npy,
Mouse_1__11_10,Mouse_1__11_10__326.npy,
Mouse_1__11_10,Mouse_1__11_10__304.npy,
Mouse_1__11_10,Mouse_1__11_10__354.npy,
Mouse_1__11_10,Mouse_1__11_10__420.npy,
Mouse_1__11_10,Mouse_1__11_10__269.npy,
Mouse_1__11_10,Mouse_1__11_10__421.npy,
Mouse_1__11_10,Mouse_1__11_10__457.npy,
Mouse_1__11_10,Mouse_1__11_10__607.npy,
Mouse_1__11_10,Mouse_1__11_10__243.npy,
Mouse_1__11_10,Mouse_1__11_10__22.npy,
Mouse_1__11_10,Mouse_1__11_10__538.npy,
Mouse_1__11_10,Mouse_1__11_10__168.npy,
Mouse_1__11_10,Mouse_1__11_10__372.npy,
Mouse_1__11_10,Mouse_1__11_10__398.npy,
Mouse_1__11_10,Mouse_1__11_10__64.npy,
Mouse_1__11_10,Mouse_1__11_10__444.npy,
Mouse_1__11_10,Mouse_1__11_10__71.npy,
Mouse_1__11_10,Mouse_1__11_10__389.npy,
Mouse_1__11_10,Mouse_1__11_10__548.npy,
Mouse_1__11_10,Mouse_1__11_10__540.npy,
Mouse_1__11_10,Mouse_1__11_10__288.npy,
Mouse_1__11_10,Mouse_1__11_10__317.npy,
Mouse_1__11_10,Mouse_1__11_10__516.npy,
Mouse_1__11_10,Mouse_1__11_10__736.npy,
Mouse_1__11_10,Mouse_1__11_10__149.npy,
Mouse_1__11_10,Mouse_1__11_10__459.npy,
Mouse_1__11_10,Mouse_1__11_10__267.npy,
Mouse_1__11_10,Mouse_1__11_10__411.npy,
Mouse_1__11_10,Mouse_1__11_10__530.npy,
Mouse_1__11_10,Mouse_1__11_10__306.npy,
Mouse_1__11_10,Mouse_1__11_10__613.npy,
Mouse_1__11_10,Mouse_1__11_10__261.npy,
Mouse_1__11_10,Mouse_1__11_10__78.npy,
Mouse_1__11_10,Mouse_1__11_10__356.npy,
Mouse_1__11_10,Mouse_1__11_10__588.npy,
Mouse_1__11_10,Mouse_1__11_10__426.npy,
Mouse_1__11_10,Mouse_1__11_10__665.npy,
Mouse_1__11_10,Mouse_1__11_10__287.npy,
Mouse_1__11_10,Mouse_1__11_10__338.npy,
Mouse_1__11_10,Mouse_1__11_10__28.npy,
Mouse_1__11_10,Mouse_1__11_10__285.npy,
Mouse_1__11_10,Mouse_1__11_10__709.npy,
Mouse_1__11_10,Mouse_1__11_10__319.npy,
Mouse_1__11_10,Mouse_1__11_10__235.npy,
Mouse_1__11_10,Mouse_1__11_10__641.npy,
Mouse_1__11_10,Mouse_1__11_10__313.npy,
Mouse_1__11_10,Mouse_1__11_10__554.npy,
Mouse_1__11_10,Mouse_1__11_10__626.npy,
Mouse_1__11_10,Mouse_1__11_10__289.npy,
Mouse_1__11_10,Mouse_1__11_10__134.npy,
Mouse_1__11_10,Mouse_1__11_10__654.npy,
Mouse_1__11_10,Mouse_1__11_10__391.npy,
Mouse_1__11_10,Mouse_1__11_10__246.npy,
Mouse_1__11_10,Mouse_1__11_10__467.npy,
Mouse_1__11_10,Mouse_1__11_10__436.npy,
Mouse_1__11_10,Mouse_1__11_10__104.npy,
Mouse_1__11_10,Mouse_1__11_10__44.npy,
Mouse_1__11_10,Mouse_1__11_10__470.npy,
Mouse_1__11_10,Mouse_1__11_10__602.npy,
Mouse_1__11_10,Mouse_1__11_10__619.npy,
Mouse_1__11_10,Mouse_1__11_10__481.npy,
Mouse_1__11_10,Mouse_1__11_10__726.npy,
Mouse_1__11_10,Mouse_1__11_10__437.npy,
Mouse_1__11_10,Mouse_1__11_10__276.npy,
Mouse_1__11_10,Mouse_1__11_10__423.npy,
Mouse_1__11_10,Mouse_1__11_10__493.npy,
Mouse_1__11_10,Mouse_1__11_10__543.npy,
Mouse_1__11_10,Mouse_1__11_10__628.npy,
Mouse_1__11_10,Mouse_1__11_10__358.npy,
Mouse_1__11_10,Mouse_1__11_10__519.npy,
Mouse_1__11_10,Mouse_1__11_10__460.npy,
Mouse_1__11_10,Mouse_1__11_10__552.npy,
Mouse_1__11_10,Mouse_1__11_10__198.npy,
Mouse_1__11_10,Mouse_1__11_10__722.npy,
Mouse_1__11_10,Mouse_1__11_10__156.npy,
Mouse_1__11_10,Mouse_1__11_10__429.npy,
Mouse_1__11_10,Mouse_1__11_10__67.npy,
Mouse_1__11_10,Mouse_1__11_10__395.npy,
Mouse_1__11_10,Mouse_1__11_10__100.npy,
Mouse_1__11_10,Mouse_1__11_10__687.npy,
Mouse_1__11_10,Mouse_1__11_10__240.npy,
Mouse_1__11_10,Mouse_1__11_10__567.npy,
Mouse_1__11_10,Mouse_1__11_10__0.npy,
Mouse_1__11_10,Mouse_1__11_10__417.npy,
Mouse_1__11_10,Mouse_1__11_10__427.npy,
Mouse_1__11_10,Mouse_1__11_10__205.npy,
Mouse_1__11_10,Mouse_1__11_10__520.npy,
Mouse_1__11_10,Mouse_1__11_10__492.npy,
Mouse_1__11_10,Mouse_1__11_10__518.npy,
